CI_adopted;time;Name;AgeAtCI;TotalComm;nbrCISystems;nbrReleases;TotalDev;ETR;NRC;RRC;NRefDev;RRD;Ref.Churn;Ref.Breadth;RChR;RCBR
0;-24;chocoteam/choco3;35;3819;2;28;30;1.19047619;22;0.431372549;3;1;384.3636364;5.818181818;0.174075498;0.311173603
0;-23;chocoteam/choco3;35;3819;2;28;30;1.769230769;14;0.378378378;2;0.666666667;120.1428571;4.571428571;0.090975809;0.182954093
0;-22;chocoteam/choco3;35;3819;2;28;30;1.388888889;19;0.306451613;2;0.5;163.4736842;3;0.139933143;0.380039197
0;-21;chocoteam/choco3;35;3819;2;28;30;1;25;0.304878049;3;1;71.88;2.24;0.098398954;0.235919425
0;-20;chocoteam/choco3;35;3819;2;28;30;2.5;3;0.066666667;2;1;142.6666667;3.333333333;0.210787425;0.591666667
0;-19;chocoteam/choco3;35;3819;2;28;30;3.8;6;0.315789474;2;1;61.33333333;3.333333333;0.03575823;0.173940327
0;-18;chocoteam/choco3;35;3819;2;28;30;0.92;26;0.634146341;2;0.666666667;588.8461538;7.307692308;0.164707004;0.368269139
0;-17;chocoteam/choco3;35;3819;2;28;30;0.787878788;34;0.267716535;2;0.666666667;236.1764706;4.470588235;0.15263952;0.399609291
0;-16;chocoteam/choco3;35;3819;2;28;30;3.5;9;0.209302326;1;0.5;118.3333333;5.777777778;0.1700845;0.458994709
0;-15;chocoteam/choco3;35;3819;2;28;30;0.828571429;36;0.218181818;2;1;1416.694444;16.30555556;0.202716815;0.345915232
0;-14;chocoteam/choco3;35;3819;2;28;30;0.714285714;36;0.276923077;2;0.5;8147.944444;84;0.400067814;0.5417298
0;-13;chocoteam/choco3;35;3819;2;28;30;2.333333333;4;0.108108108;2;0.5;1.5;1.25;0.010631612;0.167170699
0;-12;chocoteam/choco3;35;3819;2;28;30;2;6;0.176470588;2;1;559;4.666666667;0.343704943;0.309174579
0;-11;chocoteam/choco3;35;3819;2;28;30;1.263157895;20;0.163934426;2;0.666666667;3345.35;25.95;0.284383279;0.384212898
0;-10;chocoteam/choco3;35;3819;2;28;30;2.857142857;8;0.210526316;2;0.666666667;303.375;3.5;0.169979794;0.550918737
0;-9;chocoteam/choco3;35;3819;2;28;30;0.666666667;16;0.181818182;2;1;275.8125;2.8125;0.17909275;0.342143534
0;-8;chocoteam/choco3;35;3819;2;28;30;30;1;0.052631579;1;1;250;2;0.704225352;0.666666667
0;-7;chocoteam/choco3;35;3819;2;28;30;3.666666667;4;0.2;2;1;332.75;3.25;0.239248036;0.619047619
0;-6;chocoteam/choco3;35;3819;2;28;30;2.428571429;8;0.25;1;0.333333333;161;2.625;0.244665375;0.595486111
0;-5;chocoteam/choco3;35;3819;2;28;30;4.333333333;4;0.285714286;2;0.666666667;82;1.5;0.26359608;0.333333333
0;-4;chocoteam/choco3;35;3819;2;28;30;30;1;0.2;1;0.5;114;4;0.112315271;0.333333333
0;-3;chocoteam/choco3;35;3819;2;28;30;1.6;16;0.266666667;2;1;1069.875;8.125;0.211922116;0.329499624
0;-2;chocoteam/choco3;35;3819;2;28;30;30;0;0;0;0;0;0;0;0
0;-1;chocoteam/choco3;35;3819;2;28;30;1.466666667;16;0.170212766;2;0.666666667;84.5;4.5625;0.205759778;0.346879891
1;1;chocoteam/choco3;35;3819;2;28;30;0.166666667;7;0.125;2;0.666666667;78.71428571;7.142857143;0.17706674;0.449629339
1;2;chocoteam/choco3;35;3819;2;28;30;3.5;3;0.096774194;1;0.5;176.6666667;2.666666667;0.230004749;0.355555556
1;3;chocoteam/choco3;35;3819;2;28;30;3.166666667;7;0.145833333;2;0.666666667;83.42857143;1.714285714;0.156588749;0.473809524
1;4;chocoteam/choco3;35;3819;2;28;30;3.714285714;8;0.186046512;2;1;62.5;1.75;0.083409657;0.431318681
1;5;chocoteam/choco3;35;3819;2;28;30;3.75;5;0.15625;1;0.5;3035.8;31;0.129363745;0.272484544
1;6;chocoteam/choco3;35;3819;2;28;30;1.8;16;0.333333333;2;1;371.5625;3.1875;0.284319981;0.311661121
1;7;chocoteam/choco3;35;3819;2;28;30;11;2;0.047619048;1;0.5;33;2;0.097569098;0.222222222
1;8;chocoteam/choco3;35;3819;2;28;30;1.3125;17;0.182795699;2;0.666666667;6186.764706;94.58823529;0.162112992;0.329165723
1;9;chocoteam/choco3;35;3819;2;28;30;7.333333333;4;0.5;1;0.5;8.25;1;0.009518772;0.10762987
1;10;chocoteam/choco3;35;3819;2;28;30;1.454545455;12;0.48;1;1;602.5833333;4.166666667;0.168630402;0.28930658
1;11;chocoteam/choco3;35;3819;2;28;30;0.5;3;0.272727273;1;0.5;1;2;0.004252683;0.136507937
1;12;chocoteam/choco3;35;3819;2;28;30;3;5;0.5;1;0.5;33.4;1.8;0.088502755;0.207460317
1;13;chocoteam/choco3;35;3819;2;28;30;3.666666667;4;0.153846154;2;1;10;2.25;0.078982681;0.252264493
1;14;chocoteam/choco3;35;3819;2;28;30;9.333333333;4;0.117647059;1;0.25;154.5;4.5;0.178788803;0.318691483
1;15;chocoteam/choco3;35;3819;2;28;30;4.666666667;7;0.35;1;0.5;396.7142857;3.857142857;0.220739571;0.398943932
1;16;chocoteam/choco3;35;3819;2;28;30;5;3;0.272727273;1;1;1.333333333;1;0.009017012;0.119075369
1;17;chocoteam/choco3;35;3819;2;28;30;0;2;0.222222222;1;1;3;5.5;7.98E-04;0.159698276
1;18;chocoteam/choco3;35;3819;2;28;30;10;3;0.157894737;1;1;342.6666667;4.666666667;0.190062424;0.226984127
1;19;chocoteam/choco3;35;3819;2;28;30;1.692307692;14;0.274509804;1;0.5;118.2142857;3.357142857;0.111400389;0.18248046
1;20;chocoteam/choco3;35;3819;2;28;30;4;5;0.151515152;1;1;134;2.8;0.157321527;0.288034188
1;21;chocoteam/choco3;35;3819;2;28;30;1.5;5;0.217391304;1;0.333333333;6.4;1;0.042412585;0.338888889
1;22;chocoteam/choco3;35;3819;2;28;30;0.386363636;45;0.441176471;2;1;558.8;9.666666667;0.158270612;0.326533136
1;23;chocoteam/choco3;35;3819;2;28;30;1.217391304;24;0.32;2;1;9730.916667;73.54166667;0.226468496;0.367055398
1;24;chocoteam/choco3;35;3819;2;28;30;1.2;26;0.240740741;3;1;227.4230769;3.730769231;0.262195845;0.354033174
0;-24;proofpoint/platform;49;3132;1;216;69;3.6;6;0.333333333;3;0.75;14.16666667;1.666666667;0.274289058;0.355291005
0;-23;proofpoint/platform;49;3132;1;216;69;30;0;0;0;0;0;0;0;0
0;-22;proofpoint/platform;49;3132;1;216;69;30;1;0.026315789;1;0.2;43;3;0.063893016;0.157894737
0;-21;proofpoint/platform;49;3132;1;216;69;30;1;0.166666667;1;0.5;10;5;0.014064698;0.3125
0;-20;proofpoint/platform;49;3132;1;216;69;2.75;9;0.375;3;0.6;92.33333333;1.777777778;0.103249767;0.208608059
0;-19;proofpoint/platform;49;3132;1;216;69;1.454545455;12;0.255319149;4;0.666666667;42.66666667;1.833333333;0.163437012;0.358419333
0;-18;proofpoint/platform;49;3132;1;216;69;1.9;11;0.297297297;4;1;221.0909091;4.636363636;0.196603913;0.473278237
0;-17;proofpoint/platform;49;3132;1;216;69;2.272727273;12;0.2;2;0.5;344.0833333;4.416666667;0.225854515;0.526984127
0;-16;proofpoint/platform;49;3132;1;216;69;3;11;0.224489796;3;0.6;16;2;0.087922054;0.453535354
0;-15;proofpoint/platform;49;3132;1;216;69;1.769230769;14;0.233333333;2;0.666666667;102.0714286;3.142857143;0.151954203;0.399980377
0;-14;proofpoint/platform;49;3132;1;216;69;1.666666667;4;0.121212121;2;0.4;239.75;2;0.25947786;0.585714286
0;-13;proofpoint/platform;49;3132;1;216;69;2.9;11;0.180327869;5;0.714285714;29.72727273;2;0.185433614;0.385330579
0;-12;proofpoint/platform;49;3132;1;216;69;3;8;0.275862069;3;0.75;10.75;1.75;0.101547452;0.403472222
0;-11;proofpoint/platform;49;3132;1;216;69;6.5;3;0.068181818;1;0.333333333;48.66666667;2.333333333;0.228574481;0.365079365
0;-10;proofpoint/platform;49;3132;1;216;69;8.5;3;0.2;2;1;4.333333333;1;0.071031036;0.388888889
0;-9;proofpoint/platform;49;3132;1;216;69;30;0;0;0;0;0;0;0;0
0;-8;proofpoint/platform;49;3132;1;216;69;30;0;0;0;0;0;0;0;0
0;-7;proofpoint/platform;49;3132;1;216;69;3.333333333;4;0.2;1;0.2;111.25;2;0.160746948;0.363888889
0;-6;proofpoint/platform;49;3132;1;216;69;1;4;0.142857143;1;0.333333333;88;2.5;0.37988706;0.436111111
0;-5;proofpoint/platform;49;3132;1;216;69;7;3;0.09375;1;0.2;7.333333333;1;0.107537801;0.380952381
0;-4;proofpoint/platform;49;3132;1;216;69;5.5;3;0.157894737;2;0.5;57;3.333333333;0.220226881;0.486928105
0;-3;proofpoint/platform;49;3132;1;216;69;30;0;0;0;0;0;0;0;0
0;-2;proofpoint/platform;49;3132;1;216;69;30;0;0;0;0;0;0;0;0
0;-1;proofpoint/platform;49;3132;1;216;69;2;8;0.186046512;3;0.6;41.5;2.375;0.154835995;0.532367851
1;1;proofpoint/platform;49;3132;1;216;69;30;1;0.083333333;1;0.25;4;1;0.129032258;0.5
1;2;proofpoint/platform;49;3132;1;216;69;8;2;0.2;2;0.333333333;2.5;1;0.16;0.6
1;3;proofpoint/platform;49;3132;1;216;69;4;2;0.074074074;2;0.666666667;31.5;1.5;0.206056756;0.571428571
1;4;proofpoint/platform;49;3132;1;216;69;30;1;0.090909091;1;0.333333333;2;2;0.003454231;0.153846154
1;5;proofpoint/platform;49;3132;1;216;69;2.2;6;0.130434783;2;0.333333333;11.83333333;3.166666667;0.127014246;0.496031746
1;6;proofpoint/platform;49;3132;1;216;69;5.666666667;4;0.111111111;1;0.25;1213.25;18;0.336975883;0.646153846
1;7;proofpoint/platform;49;3132;1;216;69;3.333333333;4;0.19047619;2;0.5;1.75;1.25;0.033661899;0.350694444
1;8;proofpoint/platform;49;3132;1;216;69;4.5;3;0.136363636;2;0.5;16.66666667;1;0.14303012;0.465277778
1;9;proofpoint/platform;49;3132;1;216;69;8.666666667;4;0.129032258;2;0.4;161.75;1.75;0.295587613;0.53125
1;10;proofpoint/platform;49;3132;1;216;69;30;0;0;0;0;0;0;0;0
1;11;proofpoint/platform;49;3132;1;216;69;30;1;0.5;1;0.5;1;1;0.25;1
1;12;proofpoint/platform;49;3132;1;216;69;30;1;0.055555556;1;0.333333333;18;1;0.818181818;1
1;13;proofpoint/platform;49;3132;1;216;69;30;0;0;0;0;0;0;0;0
1;14;proofpoint/platform;49;3132;1;216;69;8.666666667;4;0.076923077;1;0.25;107;1.5;0.401302291;0.433333333
1;15;proofpoint/platform;49;3132;1;216;69;30;1;0.090909091;1;0.25;14;1;0.127272727;0.5
1;16;proofpoint/platform;49;3132;1;216;69;30;1;0.058823529;1;0.333333333;14;1;0.054054054;0.111111111
1;17;proofpoint/platform;49;3132;1;216;69;30;0;0;0;0;0;0;0;0
1;18;proofpoint/platform;49;3132;1;216;69;0.6;6;0.272727273;1;0.5;17.33333333;2.5;0.061199572;0.462962963
1;19;proofpoint/platform;49;3132;1;216;69;0.8;11;0.379310345;3;0.5;14.63636364;1.909090909;0.080699206;0.356963869
1;20;proofpoint/platform;49;3132;1;216;69;30;1;0.083333333;1;0.5;18;2;0.109756098;1
1;21;proofpoint/platform;49;3132;1;216;69;30;1;0.142857143;1;0.5;1;1;0.034482759;0.333333333
1;22;proofpoint/platform;49;3132;1;216;69;30;0;0;0;0;0;0;0;0
1;23;proofpoint/platform;49;3132;1;216;69;4.333333333;4;0.142857143;2;0.666666667;35.75;2.25;0.059461705;0.266991342
1;24;proofpoint/platform;49;3132;1;216;69;30;1;0.043478261;1;0.25;1;1;0.021276596;0.333333333
0;-24;jpos/jPOS;179;4378;1;49;74;30;0;0;0;0;0;0;0;0
0;-23;jpos/jPOS;179;4378;1;49;74;30;1;0.090909091;1;0.5;10;1;0.181818182;1
0;-22;jpos/jPOS;179;4378;1;49;74;30;0;0;0;0;0;0;0;0
0;-21;jpos/jPOS;179;4378;1;49;74;30;1;0.166666667;1;0.333333333;46;2;0.075657895;0.285714286
0;-20;jpos/jPOS;179;4378;1;49;74;30;1;0.166666667;1;1;1;1;0.008064516;0.2
0;-19;jpos/jPOS;179;4378;1;49;74;5;4;0.363636364;2;0.666666667;129;2.75;0.231564189;0.254611331
0;-18;jpos/jPOS;179;4378;1;49;74;3.2;6;0.166666667;3;0.75;4.166666667;1.166666667;0.071056184;0.377083333
0;-17;jpos/jPOS;179;4378;1;49;74;30;1;0.066666667;1;0.333333333;1;1;0.00129199;1
0;-16;jpos/jPOS;179;4378;1;49;74;30;0;0;0;0;0;0;0;0
0;-15;jpos/jPOS;179;4378;1;49;74;30;1;0.25;1;0.5;2;1;0.02247191;0.5
0;-14;jpos/jPOS;179;4378;1;49;74;30;1;0.076923077;1;0.25;2;1;0.095238095;1
0;-13;jpos/jPOS;179;4378;1;49;74;30;0;0;0;0;0;0;0;0
0;-12;jpos/jPOS;179;4378;1;49;74;4;2;0.142857143;2;1;2;2;0.216889881;1
0;-11;jpos/jPOS;179;4378;1;49;74;30;0;0;0;0;0;0;0;0
0;-10;jpos/jPOS;179;4378;1;49;74;30;0;0;0;0;0;0;0;0
0;-9;jpos/jPOS;179;4378;1;49;74;5.5;3;0.085714286;1;0.5;50;1.333333333;0.283454442;0.566666667
0;-8;jpos/jPOS;179;4378;1;49;74;2;2;0.125;2;0.666666667;15.5;5;0.146645022;0.611111111
0;-7;jpos/jPOS;179;4378;1;49;74;30;1;0.071428571;1;1;18;1;0.080357143;0.5
0;-6;jpos/jPOS;179;4378;1;49;74;30;1;0.111111111;1;1;3;2;0.030612245;0.5
0;-5;jpos/jPOS;179;4378;1;49;74;30;0;0;0;0;0;0;0;0
0;-4;jpos/jPOS;179;4378;1;49;74;30;0;0;0;0;0;0;0;0
0;-3;jpos/jPOS;179;4378;1;49;74;30;1;0.045454545;1;1;4;1;0.222222222;1
0;-2;jpos/jPOS;179;4378;1;49;74;30;0;0;0;0;0;0;0;0
0;-1;jpos/jPOS;179;4378;1;49;74;30;0;0;0;0;0;0;0;0
1;1;jpos/jPOS;179;4378;1;49;74;7;2;0.083333333;2;0.666666667;3;1.5;0.18452381;0.666666667
1;2;jpos/jPOS;179;4378;1;49;74;30;0;0;0;0;0;0;0;0
1;3;jpos/jPOS;179;4378;1;49;74;8;3;0.230769231;2;0.5;11.33333333;1.666666667;0.27715666;0.555555556
1;4;jpos/jPOS;179;4378;1;49;74;7;3;0.071428571;2;0.333333333;7;1.333333333;0.045678838;0.666666667
1;5;jpos/jPOS;179;4378;1;49;74;4.666666667;4;0.125;3;0.75;2;1;0.030596687;0.875
1;6;jpos/jPOS;179;4378;1;49;74;10;3;0.125;3;0.5;112;2;0.119077397;0.358974359
1;7;jpos/jPOS;179;4378;1;49;74;4.333333333;4;0.19047619;3;0.6;5.5;1;0.054263709;0.419047619
1;8;jpos/jPOS;179;4378;1;49;74;30;0;0;0;0;0;0;0;0
1;9;jpos/jPOS;179;4378;1;49;74;2;3;0.142857143;1;0.333333333;10.66666667;1;0.193484884;0.583333333
1;10;jpos/jPOS;179;4378;1;49;74;30;0;0;0;0;0;0;0;0
1;11;jpos/jPOS;179;4378;1;49;74;30;0;0;0;0;0;0;0;0
1;12;jpos/jPOS;179;4378;1;49;74;30;0;0;0;0;0;0;0;0
1;13;jpos/jPOS;179;4378;1;49;74;30;1;0.166666667;1;0.2;15;1;0.098039216;0.25
1;14;jpos/jPOS;179;4378;1;49;74;9;2;0.125;1;0.333333333;2;1;0.198412698;1
1;15;jpos/jPOS;179;4378;1;49;74;30;0;0;0;0;0;0;0;0
1;16;jpos/jPOS;179;4378;1;49;74;30;1;0.1;1;0.333333333;4;1;0.031746032;0.333333333
1;17;jpos/jPOS;179;4378;1;49;74;30;0;0;0;0;0;0;0;0
1;18;jpos/jPOS;179;4378;1;49;74;1;2;0.181818182;1;0.333333333;10;1;0.129761905;1
1;19;jpos/jPOS;179;4378;1;49;74;30;1;0.05;1;0.333333333;1;1;0.010869565;0.5
1;20;jpos/jPOS;179;4378;1;49;74;30;0;0;0;0;0;0;0;0
1;21;jpos/jPOS;179;4378;1;49;74;30;1;0.05;1;1;1;1;0.02173913;0.5
1;22;jpos/jPOS;179;4378;1;49;74;7;2;0.222222222;1;1;127;1.5;0.407535177;0.625
1;23;jpos/jPOS;179;4378;1;49;74;13;2;0.083333333;2;0.4;1;1.5;0.010766046;1
1;24;jpos/jPOS;179;4378;1;49;74;16;2;0.125;2;1;30;2;0.293147503;1
0;-24;sparklemotion/nokogiri;36;4013;1;147;195;2.5;3;0.057692308;1;0.333333333;36.33333333;2;0.133621011;0.217592593
0;-23;sparklemotion/nokogiri;36;4013;1;147;195;30;0;0;0;0;0;0;0;0
0;-22;sparklemotion/nokogiri;36;4013;1;147;195;30;0;0;0;0;0;0;0;0
0;-21;sparklemotion/nokogiri;36;4013;1;147;195;30;1;0.014084507;1;0.166666667;1;1;0.071428571;1
0;-20;sparklemotion/nokogiri;36;4013;1;147;195;17;2;0.066666667;2;0.285714286;5.5;2.5;0.103490092;0.466666667
0;-19;sparklemotion/nokogiri;36;4013;1;147;195;30;0;0;0;0;0;0;0;0
0;-18;sparklemotion/nokogiri;36;4013;1;147;195;11;2;0.055555556;2;0.4;5.5;1;0.073823896;0.333333333
0;-17;sparklemotion/nokogiri;36;4013;1;147;195;6;3;0.050847458;1;0.142857143;331.3333333;8.333333333;0.115998063;0.319444444
0;-16;sparklemotion/nokogiri;36;4013;1;147;195;3.571428571;8;0.081632653;2;0.222222222;12.75;1.25;0.107269629;0.46875
0;-15;sparklemotion/nokogiri;36;4013;1;147;195;4.2;6;0.086956522;1;0.2;8;1.166666667;0.090929671;0.547619048
0;-14;sparklemotion/nokogiri;36;4013;1;147;195;2.8;6;0.089552239;1;0.25;4.166666667;1.666666667;0.022370508;0.403937729
0;-13;sparklemotion/nokogiri;36;4013;1;147;195;30;0;0;0;0;0;0;0;0
0;-12;sparklemotion/nokogiri;36;4013;1;147;195;30;1;0.071428571;1;0.2;1;1;0.003846154;0.090909091
0;-11;sparklemotion/nokogiri;36;4013;1;147;195;30;1;0.25;1;0.5;2;2;0.044444444;0.5
0;-10;sparklemotion/nokogiri;36;4013;1;147;195;30;1;0.025641026;1;0.2;2;3;0.009661836;0.428571429
0;-9;sparklemotion/nokogiri;36;4013;1;147;195;30;1;0.023809524;1;0.2;1;2;0.004424779;0.142857143
0;-8;sparklemotion/nokogiri;36;4013;1;147;195;30;0;0;0;0;0;0;0;0
0;-7;sparklemotion/nokogiri;36;4013;1;147;195;4.333333333;4;0.076923077;1;0.166666667;8.75;4.5;0.062992469;0.673136646
0;-6;sparklemotion/nokogiri;36;4013;1;147;195;1;2;0.222222222;1;0.25;11;1;0.085346216;0.225
0;-5;sparklemotion/nokogiri;36;4013;1;147;195;1.111111111;10;0.285714286;1;0.2;3.4;1.5;0.055030617;0.52952381
0;-4;sparklemotion/nokogiri;36;4013;1;147;195;30;0;0;0;0;0;0;0;0
0;-3;sparklemotion/nokogiri;36;4013;1;147;195;30;0;0;0;0;0;0;0;0
0;-2;sparklemotion/nokogiri;36;4013;1;147;195;30;0;0;0;0;0;0;0;0
0;-1;sparklemotion/nokogiri;36;4013;1;147;195;30;0;0;0;0;0;0;0;0
1;1;sparklemotion/nokogiri;36;4013;1;147;195;5;4;0.166666667;1;0.2;2.25;1;0.048443735;0.75
1;2;sparklemotion/nokogiri;36;4013;1;147;195;30;0;0;0;0;0;0;0;0
1;3;sparklemotion/nokogiri;36;4013;1;147;195;11;2;0.117647059;2;0.333333333;1.5;1;0.255952381;0.5625
1;4;sparklemotion/nokogiri;36;4013;1;147;195;20;2;0.117647059;1;0.25;25;2;0.15678097;0.7
1;5;sparklemotion/nokogiri;36;4013;1;147;195;30;0;0;0;0;0;0;0;0
1;6;sparklemotion/nokogiri;36;4013;1;147;195;30;1;0.058823529;1;0.166666667;1;1;0.041666667;0.333333333
1;7;sparklemotion/nokogiri;36;4013;1;147;195;30;1;0.019230769;1;0.125;7;1;0.269230769;1
1;8;sparklemotion/nokogiri;36;4013;1;147;195;30;0;0;0;0;0;0;0;0
